player,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Aaron Mooy,MF,Australia,32-087,1990,4.0,0,1,0,0.0,0.25,0.00,0.00,,29.1,0,0,0,0.0,0.0,0.05,0.0,0.0
Aaron Ramsey,MF,Wales,31-350,1990,3.0,0,1,0,0.0,0.34,0.00,0.00,,18.0,0,0,0,0.0,0.0,0.04,0.0,0.0
Abdelhamid Sabiri,MF,Morocco,26-013,1996,1.5,0,3,0,0.0,1.99,0.00,0.00,,34.2,1,0,0,0.1,0.1,0.04,-0.1,-0.1
Abdelkarim Hassan,DF,Qatar,29-105,1993,3.0,0,6,0,0.0,2.00,0.00,0.00,,23.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Abderrazak Hamdallah,FW,Morocco,31-359,1990,0.5,0,1,1,100.0,2.09,2.09,0.00,0.00,11.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Abdessamad Ezzalzouli,FW,Morocco,20-359,2001,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Abdou Diallo,DF,Senegal,26-221,1996,3.7,0,1,0,0.0,0.27,0.00,0.00,,15.4,0,0,0,0.0,0.0,0.03,0.0,0.0
Abdul Fatawu Issahaku,FW,Ghana,18-278,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Abdulaziz Hatem,MF,Qatar,32-044,1990,2.2,0,1,1,100.0,0.46,0.46,0.00,0.00,27.4,0,0,0,0.0,0.0,0.02,0.0,0.0
Abdulelah Al-Amri,DF,Saudi Arabia,25-330,1997,2.0,0,1,0,0.0,0.49,0.00,0.00,,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Abdulellah Al-Malki,MF,Saudi Arabia,28-061,1994,1.9,0,2,0,0.0,1.03,0.00,0.00,,21.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Abdullah Madu,DF,Saudi Arabia,29-149,1993,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-193,1995,0.4,0,1,0,0.0,2.57,0.00,0.00,,4.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Abolfazl Jalali,DF,IR Iran,24-168,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Achraf Dari,DF,Morocco,23-219,1999,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Achraf Hakimi,DF,Morocco,24-037,1998,5.0,0,3,1,33.3,0.60,0.20,0.00,0.00,26.1,1,0,0,0.1,0.1,0.03,-0.1,-0.1
Adrien Rabiot,MF,France,27-252,1995,4.3,1,8,3,37.5,1.86,0.70,0.13,0.33,13.3,0,0,0,1.0,1.0,0.12,0.0,0.0
Agustín Canobbio,MF,Uruguay,24-071,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ahmad Nourollahi,MF,IR Iran,29-312,1993,2.5,0,5,1,20.0,2.02,0.40,0.00,0.00,29.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Ahmed Alaaeldin,FW,Qatar,29-314,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Aimen Dahmen,GK,Tunisia,25-317,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ajdin Hrustic,MF,Australia,26-159,1996,0.7,0,1,0,0.0,1.45,0.00,0.00,,22.4,0,0,0,0.0,0.0,0.03,0.0,0.0
Akram Afif,FW,Qatar,26-023,1996,3.0,0,2,0,0.0,0.67,0.00,0.00,,29.8,0,0,0,0.0,0.0,0.02,0.0,0.0
Alan Franco,MF,Ecuador,24-112,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Alejandro Balde,DF,Spain,19-054,2003,1.4,0,1,0,0.0,0.71,0.00,0.00,,11.3,0,0,0,0.0,0.0,0.05,0.0,0.0
Aleksandar Mitrović,FW,Serbia,28-086,1994,2.9,2,10,3,30.0,3.44,1.03,0.20,0.67,14.1,0,0,0,1.6,1.6,0.16,+0.4,+0.4
Alex Sandro,DF,Brazil,31-319,1991,2.1,0,1,0,0.0,0.47,0.00,0.00,,33.5,0,0,0,0.0,0.0,0.03,0.0,0.0
Alex Telles,DF,Brazil,29-361,1992,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Alexander Bah,DF,Denmark,25-002,1997,0.5,0,2,0,0.0,3.91,0.00,0.00,,19.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Alexander Djiku,DF,Ghana,28-124,1994,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Alexis Mac Allister,MF,Argentina,23-352,1998,3.9,1,2,2,100.0,0.51,0.51,0.50,0.50,14.4,0,0,0,0.3,0.3,0.16,+0.7,+0.7
Alexis Vega,FW,Mexico,25-016,1997,2.1,0,9,2,22.2,4.20,0.93,0.00,0.00,21.0,1,0,0,0.8,0.8,0.09,-0.8,-0.8
Ali Abdi,DF,Tunisia,28-356,1993,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ali Al Hassan,MF,Saudi Arabia,25-282,1997,0.5,0,1,0,0.0,2.00,0.00,0.00,,10.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Ali Al-Bulaihi,DF,Saudi Arabia,33-020,1989,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ali Assadalla,MF,Qatar,29-326,1993,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ali Gholizadeh,MF,IR Iran,26-276,1996,2.2,0,1,0,0.0,0.45,0.00,0.00,,26.2,0,0,0,0.0,0.0,0.03,0.0,0.0
Ali Karimi,MF,IR Iran,28-303,1994,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ali Maâloul,DF,Tunisia,32-344,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Alidu Seidu,DF,Ghana,22-190,2000,1.7,0,1,0,0.0,0.58,0.00,0.00,,31.9,0,0,0,0.0,0.0,0.01,0.0,0.0
Alireza Beiranvand,GK,IR Iran,30-081,1992,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Alireza Jahanbakhsh,MF,IR Iran,29-122,1993,0.7,0,3,0,0.0,4.58,0.00,0.00,,22.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Alisson,GK,Brazil,30-070,1992,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Alistair Johnston,DF,Canada,24-064,1998,3.0,0,2,1,50.0,0.67,0.33,0.00,0.00,8.5,0,0,0,0.8,0.8,0.40,-0.8,-0.8
Almoez Ali,FW,Qatar,26-114,1996,2.5,0,3,1,33.3,1.21,0.40,0.00,0.00,16.4,0,0,0,0.4,0.4,0.12,-0.4,-0.4
Alphonso Davies,MF,Canada,22-039,2000,3.0,1,3,1,33.3,1.00,0.33,0.33,1.00,21.0,1,0,1,1.1,0.3,0.09,-0.1,+0.7
Amadou Onana,MF,Belgium,21-117,2001,1.2,0,2,0,0.0,1.73,0.00,0.00,,8.3,0,0,0,0.5,0.5,0.23,-0.5,-0.5
Andre-Frank Zambo Anguissa,MF,Cameroon,27-025,1995,2.9,0,1,1,100.0,0.35,0.35,0.00,0.00,11.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Andreas Christensen,DF,Denmark,26-245,1996,3.0,1,2,1,50.0,0.67,0.33,0.50,1.00,5.9,0,0,0,0.4,0.4,0.18,+0.6,+0.6
Andreas Cornelius,FW,Denmark,29-270,1993,1.0,0,5,2,40.0,4.89,1.96,0.00,0.00,10.2,0,0,0,1.0,1.0,0.20,-1.0,-1.0
Andreas Skov Olsen,FW,Denmark,22-347,1999,1.5,0,4,1,25.0,2.73,0.68,0.00,0.00,14.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Andrej Kramarić,FW,Croatia,31-175,1991,3.8,2,9,3,33.3,2.36,0.79,0.22,0.67,15.6,0,0,0,1.6,1.6,0.17,+0.4,+0.4
Andries Noppert,GK,Netherlands,28-248,1994,5.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Andrija Živković,DF,Serbia,26-153,1996,2.3,0,1,0,0.0,0.43,0.00,0.00,,24.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
André Ayew,MF,Ghana,32-359,1989,2.2,1,1,1,100.0,0.45,0.45,1.00,1.00,17.3,0,0,1,1.1,0.4,0.36,-0.1,+0.6
André Onana,GK,Cameroon,26-253,1996,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
André Silva,FW,Portugal,27-035,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Andrés Guardado,MF,Mexico,36-074,1986,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Anis Ben Slimane,MF,Tunisia,21-270,2001,1.6,0,1,1,100.0,0.61,0.61,0.00,0.00,9.6,0,0,0,0.1,0.1,0.11,-0.1,-0.1
Ansu Fati,FW,Spain,20-041,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ante Budimir,FW,Croatia,31-142,1991,0.6,0,1,0,0.0,1.64,0.00,0.00,,10.8,0,0,0,0.2,0.2,0.18,-0.2,-0.2
Anthony Contreras,FW,Costa Rica,22-316,2000,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Antoine Griezmann,MF,France,31-265,1991,4.2,0,6,2,33.3,1.43,0.48,0.00,0.00,17.6,1,0,0,0.7,0.7,0.11,-0.7,-0.7
Antoine Semenyo,FW,Ghana,22-338,2000,0.2,0,1,0,0.0,4.50,0.00,0.00,,13.5,0,0,0,0.0,0.0,0.05,0.0,0.0
Antonee Robinson,DF,United States,25-125,1997,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Antonio Rüdiger,DF,Germany,29-283,1993,3.0,0,6,1,16.7,2.00,0.33,0.00,0.00,17.4,0,0,0,0.8,0.8,0.13,-0.8,-0.8
Antony,FW,Brazil,22-290,2000,1.9,0,6,2,33.3,3.14,1.05,0.00,0.00,22.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2
António Silva,DF,Portugal,19-042,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ao Tanaka,MF,Japan,24-092,1998,1.9,1,1,1,100.0,0.53,0.53,1.00,1.00,1.5,0,0,0,1.0,1.0,0.96,0.0,0.0
Ardon Jasari,FW,Switzerland,20-134,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Arkadiusz Milik,FW,Poland,28-286,1994,1.1,0,1,0,0.0,0.89,0.00,0.00,,9.0,0,0,0,0.2,0.2,0.25,-0.2,-0.2
Artur Jędrzejczyk,DF,Poland,35-037,1987,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Asiri Haitham,FW,Saudi Arabia,21-261,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Assim Madibo,MF,Qatar,26-050,1996,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Atiba Hutchinson,MF,Canada,39-306,1983,1.8,0,2,0,0.0,1.13,0.00,0.00,,16.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Aurélien Tchouaméni,MF,France,22-318,2000,4.6,1,5,2,40.0,1.09,0.44,0.20,0.50,23.4,0,0,0,0.3,0.3,0.06,+0.7,+0.7
Awer Mabil,MF,Australia,27-087,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Axel Disasi,DF,France,24-275,1998,1.0,0,1,0,0.0,0.99,0.00,0.00,,9.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Axel Witsel,MF,Belgium,33-333,1989,3.0,0,1,0,0.0,0.33,0.00,0.00,,32.2,0,0,0,0.0,0.0,0.02,0.0,0.0
Ayase Ueda,FW,Japan,24-092,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Aymeric Laporte,DF,Spain,28-198,1994,3.3,0,1,0,0.0,0.30,0.00,0.00,,13.6,0,0,0,0.0,0.0,0.03,0.0,0.0
Aziz Behich,DF,Australia,31-360,1990,4.0,0,2,0,0.0,0.50,0.00,0.00,,16.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Azzedine Ounahi,MF,Morocco,22-236,2000,4.9,0,2,0,0.0,0.41,0.00,0.00,,31.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Aïssa Laïdouni,MF,Tunisia,25-363,1996,2.7,0,2,0,0.0,0.74,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Baba Rahman,DF,Ghana,28-162,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Badr Banoun,DF,Morocco,29-072,1993,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bailey Wright,DF,Australia,30-136,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bamba Dieng,FW,Senegal,22-263,2000,1.1,1,4,1,25.0,3.60,0.90,0.25,1.00,16.3,1,0,0,0.5,0.5,0.12,+0.5,+0.5
Bartosz Bereszyński,DF,Poland,30-152,1992,3.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bassam Al-Rawi,DF,Qatar,24-360,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
